Author,Title,Journal,Year,Category,Volume
"A IRAM, S SAEED",Exploring Usability Issues in Bug Tracking Applications: An Empirical Study of Pakistani Software Industry,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"A MALIK, A R ABBASI, I B KALHORO, S A SHAH, N T NAREJO, H KALHORO","Effect of Ovaprim Hormone (Syndel Laboratory, Canada) on Spawning of Koi Carp at Fish Hatchery Chilya Thatta, Sindh, Pakistan",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"S KABIR, A K KHANZADA, W SHAIKH, A R ABBASI",A Study on Metal Analysis of Some Selected Medicinally Important Plants of (Seeds) of Family (Cucurbiteacea) Found in Sindh Pakistan,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"M SHAH, T JAN, A JEHANGIR, A ALI",A Novel Method for Blind Segregation of Speech and Image Data Using Independent Vector Analysis.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"S A MEMON, S A SHAIKH, N MEMON, M A SHAH, B MAL, N A SHAH",Testicular Toxicity of Lambda Cyhalothrin Insecticide in Male Rabbits (Oryctolagus cuniculus,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"A M JAKHRANI, S JALBANI, N T NAREJO, A ANJUM, Y M JALBANI","Studies on the Prevalence of Ecto Parasites of Gulfarm (Cyprinus Carpio) from Carp Fish Hatchry District Badin, Sindh, Pakistan",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"H U ABBASI, MUR MAREE, K T PATHAN, N A KANASRO, S SOOMRO",Temporal Change of Mancher Lake Through Landsat Satellite Imagery,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"M A IRFAN, N AHMAD, S KHAN",Analysis of Varying Least Significant Bits DCT and Spatial Domain Stegnography,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"S ASIM, S A BABLANI, S N QURESHI, M HUSSAIN","Seismic and well data interpretation for Fort Abbas area in Punjab Platform, Pakistan",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"A K KHANZADA, S KABIR, W SHAIKH","Determination of Essential Elements, Total Protein and Evaluation of Antifungal Activity of A Marine Alga Codium Laevigatum M Nizamuddin (Chlorophyta) Collected From the Coastal Areas of Pakistan",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"S A SHAH, S RAFIQUE, M S JUMANI",Analyses on utilisation of solar energy as a sustainable source of clean water production,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"B MAL, N MEMON, S A MEMON, M A SHAH, N A SHAH, A ANSARI","First Record and Redescription of Tarucus Theophrastus Fabricius (Papilionoidea, Lycaenidae) from Jamshoro",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"D N HAKRO, A Z TALIB, Z BHATTI, G N MOJAI",A Study of Sindhi Related and Arabic Script Adapted languages Recognition,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"F Y KHUHAWAR, M A UNAR, N A MAHOTO, A SHAZIA",Blind Channel Equalization Using Elman Network,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"W N KHAN, A RAUF, B U REHMAN, K M YAHYA",Performance Evaluation and Feasibility Report for Coexistence of 2G Infrastructure into 3G cellular Networks in Universal Mobile Telecommunications System (UMTS) as Third Generation Network,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"M A RUSTAMANI, I KHATRI, M H LEGHARI, R SULTANA, A S MANDOKHAIL",Trichomes of Cotton Leaf as an Aspect of Resistance to Sucking Insect Pests,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"R ULLAH, A ALI, T JAN, S HAQ",Proposing Grey Coded Direct Sequence Spread Spectrum (GC-DSSS),Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"Z-U-N MEMON, M S CHANDIO, N J RAJPAR, S F SHAH, S QURESHI, A A SHAIKH",On Local Error Bound of a Modified Ordinary Differential Equation Solver,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"M BALOCH, A MEMON, S N MARI, A W BALOCH, S ABRO, S A ABRO",Genetic Studies on Some Quantitative Traits in Upland Cotton (Gossypium hirsutum L.),Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"A W SHAIKH, G Q MEMON, Z A KALHORO, S H A MUTTAQI, A K SOOMRO, U A RIND",Starting flows for a fractional Oldroyd-B fluid between two coaxial cylinders,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"S H SOLANGI, S A ABBASI, Anwar ALI, S ASIM, RA LASHARI, I A BROHI, I SIDDIQUI","Study of Subsurface Structural Trend and Stratigraphic Architecture Using Seismic Data A Case Study from Zindapir Inner Folded Zone, Sulaiman Sub-Basin, Pakistan",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"Z U A KHUHRO, F N MEMON, A P HARRISON",CORONATION: Comparison of RibO Nucleic Acid Tertiary’s Involving Overlapping Networks,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
NOOR JEHAN RAJPER,A Comparative Analysis of Prominent VO Modelling Approaches,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 3 (2014)"
"M Y Koondhar, M M RIND, M Y HUB, H SHAIKH",Semi-automated E-Tendering System with Web Services.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"F MEMON, N T NAREJO, A R ABBASI, A M SOOMRO, K P KUNBHAR","Blood and offal tissue lead levels of Goats, sheep and chickens farmed near Battery Recycling smelters of Hyderabad Pakistan",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"N Channa, A Kerio, K T Pathan, Q-UL- NIZAMANI",Semantic and Ontology Based methods for constructing Product Knowledge in OWL-S,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"B A BUGHIO, R SULTANA, M S WAGAN, S A CHANNA",Morphological study with special reference to Phallic complex of two important grasshoppers from Pakistan .,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"A A SHAIKH, M S CHANDIO",Computation of blood flow separation and reattachment length on Stenosed artery using Finite Element Method,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"S T QURESHI, S A MEMON, B WARYANI, A R ABASSI, W PATOLI, Y SOOMRO, H BUX, FA BUGHIO",Gamma Rays Induced Phenotypic Mutations In Chickpea (Cicerarietinum L.),Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"Z M ABBAS, M M ANWAR, K MAHMOOD, M AHMAD","Awareness about effects of drug addiction in Faisalabad District, Pakistan",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"S ULLAH, N AHMAD, K AHMAD, S R HASSNAIN",Expressions Invarient Face Recognition,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"N AHMAD, Y S AFRIDI, J S AFRIDI, B BALOCH",Robust Automatic Speech Recognition in Real Life Environment using Active Noise Control,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"S AHMED, S H SOLANGI, I A BROHI, Q D KHOKHAR, R A LASHARI","Study of Stratigraphy and Structural Styles in the Subsurface of Southern Sindh Monocline, Pakistan: Using Seismic and Well Data.",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"M FAHEEM, A MUZAFFAR, M SHOAIB",Experts’ Opinion upon Factors Influencing Microfinance Organizations’ Targets: Microfinance Banks vs. Microfinance Institutions,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"Q D KHOKHAR, S H SOLANGI, AAA DAAHAR HAKRO, S A ABBASI, I A BROHI, MA PATHAN","Lithofacies of Bara Formation at Wadi Sawri Nala Section, Northern Laki Range, Southern Indus Basin, Pakistan",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"Z A K BALOCH, M E BALOCH, R A MEMON, H SHAIKH",Computer Simulation of Lid Driven Deep Cavity Flow,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"A MALIK, B WARYANI, I B KALHORO, H KALHORO, S A SHAH, N T NAREJO","Observe the Growth Performance and Adaptation of Exotic Fish Red Tilapia(hybrid) in climate of Fish Hatchery Chilya, Thatta, Sindh-Pakistan",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"A SADAF, H ZAFAR, SR HASSNAIN, MS LAIQ, F ALI",Performance Evaluation of Hierarchical and Location Based Routing in Wireless Sensor Networks,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"S A SHAH, MS JUMANI, S RAFIQUE",Prospective Study of Solar Energy as a Sustainable Energy Source of Electrical Power Generation,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"A B ILYAS, M FIAZ, M SHOAIB",Using Structural Equation Modelling to Analyze the Impact of Quality Management System on Operational Performance,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"S AKHTAR, M R DHANANI",Sea Level Change: Causes and Impacts: A Case Study of Pakistan,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"S R SAMO, Z A SIYAL, H U ABBASI, F H MANGI, A MEMON","Estimation of Toxic Gases and Control: Case Study Pakistan Steel Mill, Karachi",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"R SULTANA, A SOOMRO, M S WAGAN, B A BUGHIO, Y S WAGAN",Incidence of Mermis nigrescens Dujardin (Mermithida: Mermithidae: Nematoda) in paddy grasshoppers,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"A KEERIO, N CHANNA, Y A MALKANI,, B QURESHI, J A CHANDIO",Acoustic Analysis of the Liquid Class of Consonant Sounds of Sindhi,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"S A TUNIO, S BANO, Z A PIRZADA, Z RAJPUT, M MAHESHWARI, S AHMED, A SOOMRO, S K MAHRAJ","Prevalence of Hepatitis C and Hepatitis B co-infections in District Hyderabad, Pakistan",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"A U KHAN, A R MEMON, M HABIB, S S KHAN, U HABIB",Characterization of Indiginously Developed KPK Coal Briquettes,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"A KABIR, S KABIR, A J PEIRZADO, M BALOCH","Detection of total Protein of (Red, Brown, and Green Algae) from Marine Algae Coast of Karachi Pakistan",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"M SOHAIL, M N K KHATTAK, I TAUSEEF, A L KORAI, A SHAH, K H LASHARI",Ichthyodiversity in relation to physico-chemical parameters of River Swat.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"H NAWAZ, H M ALI, G NABI",Simulation based analysis of Reactive Protocols Metrics in MANET Using OPNET,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"N A MAHOTO, A SHAIKH, F KHUHAWAR",CLITA: Discovering Knowledge from Clinical Data.,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"M RASHAD, I AHMAD, M SHAH, Z U A KHUHRO",Left Transitive AG-Groupoids,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"S K KHANZADA, A KABEER, M BALOCH","Isolation of Fatty Acid, Elements Protein Contents in Flowers of Calendula Officinalis L., from Jamshoro, Sindh- Pakistan",Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"A R RAJPAR, I KHTRI, M A RUSTAMANI, S_UR_ REHMAN, B A PIRZADO",On some common Acridinae Grasshoppers found in Tandojam,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
"S NIZAMANI, SAAD NIZAMANI, SEHRISH NIZAMANI, I A ISMAILI",On the computational models for the analysis of illicit activities†,Sindh University Research Journal (Science Series),2014,X,"Vol 46, No 4 (2014)"
